Customer_id;Customer_name;Address_line1
191 Benua Melayu 2;191 Benua Melayu 2;Jl. Sultan mahmud No. 191 Kel. Benua Melayu Kec. Pontianak Selatan
Abun Batako Sungai Raya 2;Abun Batako Sungai Raya 2;Jl. Sungai Raya Dalam Kel. SungaiRaya Kec. Sungai Raya
Achuan Peniti Sui Pinyuh 2;Achuan Peniti Sui Pinyuh 2;Jl. Peniti Kel. Sui Pinyuh Kec. -
Afa Singkawang 2;Afa Singkawang 2;Jl. Tanjung Gundul Kel. Singkawang Kec. -
Agus Saigon 2;Agus Saigon 2;Jl. Tanjung Raya Kel. Saigon Kec. Pontianak Timur
Ajin Singkawang 2;Ajin Singkawang 2;Jl. Sejahtera Kel. SIngkawang Kec. -
Akiong Benua Melayu Darat 2;Akiong Benua Melayu Darat 2;Jl. Gajah Mada
Aku Sucipto Parit Tokaya 2;Aku Sucipto Parit Tokaya 2;Jl. Perdana Komp. Ruko Perdana Square No. 18 D Kel. Parit Tokaya Kec. Pontianak Selatan
Alfianto Benua Melayu Darat 2;Alfianto Benua Melayu Darat 2;Jl. Tanjung Sari No. 8 Kel. Benua Melayu Darat Kec. Pontianak Selatan
Amerta Sanggau 2;Amerta Sanggau 2;Jl. A. Yani No. 210 b-c Kel. Sanggau Kec. -
Aneka Jaya Putussibau 2;Aneka Jaya Putussibau 2;Jl. Merdeka Kel. Putussibau Kec. -
Aneka Maju Tebas 2;Aneka Maju Tebas 2;Jl. Raya Sempalai Kel. Tebas Kec. -
Angim Saigon 2;Angim Saigon 2;Jl. Tanjung Hulu Kel. Saigon Kec. Pontianak Timur 
Anugrah Jaya Kubu Raya 2;Anugrah Jaya Kubu Raya 2;Jl. Trans Kalimantan Kel. Kubu Raya Kec. Ambawang
Anugrah Mobil Ngabang 2;Anugrah Mobil Ngabang 2;Jl. Raya Ngabang Kel. Ngabang Kec. - 
Apeng Batako Sungai Raya 2;Apeng Batako Sungai Raya 2;Jl. Sungai Raya Dalam Kel. Sungai Raya Kec. -
Ari Zona Siantan Tengah 2;Ari Zona Siantan Tengah 2;Jl. Khatulistiwa Kel. Siantan Tengah Kec. Pontianak Utara
Asip Siantan Tengah 2;Asip Siantan Tengah 2;Jl. Gusti Situt Mahmut Kel. Siantan Tengah Kec. Pontianak Utara
Aston Benua Melayu Darat 2;Aston Benua Melayu Darat 2;Jl. Gajah Mada Kel. Benua Melayu Darat Kec. Pontianak Selatan 
AUI Darat Skip 2;AUI Darat Skip 2;Jl. Nusa Indah 3
Aw Jaya Sambas 2;Aw Jaya Sambas 2;Jl. sebawi Kel. Sambas Kec. Sambas 
Bangun Jaya Putussibau 2;Bangun Jaya Putussibau 2;Jl. Merdeka No. 31 kel. Putussibau Kec. - 
Bangunan Kelapa Empat Jaya Singkawang 2;Bangunan Kelapa Empat Jaya Singkawang 2;Jl. Raya Kelapa Empat Sungai Duri Kel. Singkawang Kec. - 
Bangunan Naisah Sungai Renggas 2;Bangunan Naisah Sungai Renggas 2;Jl. Komyos Sudarso Kel. Sungai Renggas Kec. Kakap 
Bintang Timur Sanggau 2;Bintang Timur Sanggau 2;Jl. Jendral Sudirman No. 67-68 Kel. Sanggau Kec. -
Budi Jaya Siantan Hilir 2;Budi Jaya Siantan Hilir 2;Jl. Budi utomo samping sungai selamat Kel. Siantan Hilir Kec. Pontianak Utara
Cendana Kencana Semesta Benua Melayu Darat 2;Cendana Kencana Semesta Benua Melayu Darat 2;Jl. Suprapto 4 No. 8 Kel. Benua Melayu Darat Kec. Pontianak Selatan
Cipta Sarana Sanggau 2;Cipta Sarana Sanggau 2;Jl. N. R. E Martadinata No. 9a Kel. Sanggau Kec. -
Citra Bangunan Putussibau 2;Citra Bangunan Putussibau 2;Jl. Diponegoro Kel. Putussibau Kec. -
Citra Material Batu Layang 2;Citra Material Batu Layang 2;Jl. Khatulistiwa No. 597 KM 6 Kel. Batu Layang Kec. Pontianak Utara
CUST00010;Usaha Mandiri Siantan Hilir 2;Jl. Khatulistiwa No. 153 Kel. Siantan Hilir Kec. Pontianak Utara 
CUST00014;Propit Sungai Jawi Luar 2;Jl. komyos sudarsono depan rumah susun Kel. Sungai Jawi Luar Kec. Pontianak Barat
CUST00016;Eka Jaya Mandiri Tanjung Hulu 2;Jl. Yam sabran No. 96 Kel. Tanjung Hulu Kec. Pontianak Timur 
CUST00017;Mitra Bangunan Tanjung Hulu 2;Jl. Panglima aim No. 8, 9, 10 Kel. Tanjung Hulu Kec. Pontianak Timur 
CUST00019;Sinar Baru Tanjung Hulu 2;Jl. Panglima aim Kel. Tanjung Hulu 2 Kec. Pontianak Timur 
CUST00020;Batako Sungai Raya 2;Jl. Arteri Supadio Kel. Sungai Raya Kec. Sungai Raya
CUST00021;Hasil Kembang Alam Tanjung Hulu 2;Jl. Y. M Sabran No. 88 Kel. Tanjung Hulu Kec. Pontianak Timur
CUST00024;Artha Borneo Saigon 2;Jl. Tanjung raya II Kel. Saigon  Kec. Pontianak Timur 
CUST00028;Yosua Bengkayang 2;Jl. Bengkayang Kel. Bengkayang 
CUST00032;Makmur Lestari Siantan Hulu 2;Jl. 28 Oktober No. 34 Kel. Siantan Hulu Kec. Pontianak Utara
CUST00034;Mujur Material II Siantan Hilir 2;Jl. Budi utomo No. 8 Kel. Siantan Hilir Kec. Pontianak Utara
CUST00035;Sarana Utama SIantan Hilir 2;Jl. Budi utomo No. 21 Kel. Siantar Hilir Kec. Pontianak Utara
CUST00036;Semangat Bersama Siantan Hilir 2;Jl. Budi utomo No. 1 Kel. Siantan Hilir Kec. Pontianak Utara
CUST00042;Rudi Sungai Jawi Luar 2;Jl. Ampera Kel. Sungai Jawi Luar Kec. Pontianak Barat
CUST00047;Bangunan Cahaya Pandan 2;Jl. Cahaya Pandang Kel. Nangah Pinoh Kec. -
CUST00048;Zubaidah Kapur 2;Perumahan Agung Desa Kapur Kec. -
CUST00051;Strada Multi Perkasa Parit Tokaya 2;Jl. Veteran Kel. Parit Tokaya Kec. Pontianak Selatan
CUST00052;Sumber Alam Parit Tokaya 2;Jl. Perdamaian Kel. Parit Tokaya Kec. Pontianak Selatan
CUST00053;Doni Semparuk Sambas 2;Jl. Sambas Kel. Sambas Kec. -
CUST00055;Bintang Karya Persada Benua Melayu Darat 2;Jl. BLKI Kel. Benua Melayu Darat Kec. Pontianak Selatan 
CUST00056;Heri Sungai Raya Dalam 2;Jl. Adi Sucipto Kel. Sungai Raya Dalam Kec. Pontianak Selatan
CUST00060;Sumber Rezeki Sintang 2;Jl. Jurusan komp. BTN Sintang Kel. Sintang Kec. -
CUST00062;Hendy Benua Melayu Darat 2;Jl. Budi Karya Kel. Benua Melayu Darat Kec. Pontianak Selatan
CUST00064;Bahan Siaga Sungai Raya 2;Jl. A. Yani Kel. Sungai Raya Kec. Kubu Raya
CUST00068;Adil Bahagia Singkawang 2;Jl. Raya Lirang No. 37 Kel. Singkawang Kec. - 
CUST00071;Baru SIngkawang 2;Jl. Raya Baru No. 36 Sei Duri Kel. Singkawang Kec. -
CUST00072;Ferry Parit Tokaya 2;Jl. Purnama Kel. Parit Tokaya Kec. Pontianak Selatan
CUST00077;Agung Perkasa Sanggau 2;Jl. Penyrladi Sanggau Kel. Sanggau Kec. -
CUST00081;Kubu Indah Sungai Raya 2;Jl. Adi Sucipto KM 13 GG. lintang Kel. Sungai Raya Kec. Pontianak Selatan
Delta Prima Khatulistiwa Kubu Raya 2;Delta Prima Khatulistiwa Kubu Raya 2;Jl. Kampung Jawa Kel. Kubu Raya Kec. Ambawang
Deni Sungai Jawi Dalam 2;Deni Sungai Jawi Dalam 2;Jl. H. A Rachman Gg. Keluarga Kel. Sungai Jawi Dalam Kec. Pontianak Barat
Dimensi Bangunan Siantan Tengah 2;Dimensi Bangunan Siantan Tengah 2;Jl. Gusti Mahmud Kel. Siantan Tengah Kec. Pontianak Utara
Eria Makmur Pontianak Tenggara 2;Eria Makmur Pontianak Tenggara 2;Jl. Adi Sucipto Kel. - Kec. Pontianak Tenggara 
Fahmi Sungai Jawi Dalam 2;Fahmi Sungai Jawi Dalam 2;Jl. Alianyang Kel. Sungai Jawi Dalam Kec. Pontianak Barat 
Fajar Jaya Putussibau 2;Fajar Jaya Putussibau 2;Jl. Komyos Sudarso No. 688 Kel. Putussibau Kec. -
Fajar Kencana Sungai Jawi Luar 2;Fajar Kencana Sungai Jawi Luar 2;Jl. Tabrani Ahmad Kel.  Sungai Jawi Luar Kec. Pontianak Barat
Fantasi Sintang 2;Fantasi Sintang 2;Jl. Lintas Melawi Kel. SIntang Kec. -
Gunung Mas Putussibau 2;Gunung Mas Putussibau 2;Jl. Komyos Sudarso No. 78 Kel. Putussibau Kec. -
Harapan Masa Saigon 2;Harapan Masa Saigon 2;Jl. Tanjung Raya II Kel. Saigon Kec. Pontianak Timur
Hasan Tebas 2;Hasan Tebas 2;Jl. Tebas Kel. Tebas Kec. -
Herman Melayu Darat  2;Herman Melayu Darat  2;Jl. Karangan Block C No. 9 Kel. Melayu Darat Kec. Pontianak Selatan 
Herry Darat Skip 2;Herry Darat Skip 2;Jl. Sisingamaharaja Kel. Darat Skip Kec. Pontianak Selatan
Indra Jaya Singkawang 2;Indra Jaya Singkawang 2;Jl. Krisdasana No. 3 Kel. Singkawang Kec. -
